"Year","Month","Day","Secchi.Depth.m","s.Secchi.Depth.m","People","Notes.Secchi","Source.Secchi","Date","yDay","Source.Color","Secchi.Season","Secchi.Granular.Season"
1906,6,4,6.3,NA,"E.A. Birge C. Juday and Associates",NA,"NTL-LTER: 1897-2007 compiled data, dt2 in EDI package ID knb-lter-ntl.335.1",1906-06-04,155,"plum2","clearwater","clearwater #1"
1906,6,11,3.2,NA,"E.A. Birge C. Juday and Associates",NA,"NTL-LTER: 1897-2007 compiled data, dt2 in EDI package ID knb-lter-ntl.335.1",1906-06-11,162,"plum2","clearwater","clearwater #1"
1906,6,19,3,NA,"E.A. Birge C. Juday and Associates",NA,"NTL-LTER: 1897-2007 compiled data, dt2 in EDI package ID knb-lter-ntl.335.1",1906-06-19,170,"plum2","post-clearwater","clearwater #2"
1906,7,12,3.3,NA,"E.A. Birge C. Juday and Associates",NA,"NTL-LTER: 1897-2007 compiled data, dt2 in EDI package ID knb-lter-ntl.335.1",1906-07-12,193,"plum2","post-clearwater","clearwater #2"
1906,7,20,2.3,NA,"E.A. Birge C. Juday and Associates",NA,"NTL-LTER: 1897-2007 compiled data, dt2 in EDI package ID knb-lter-ntl.335.1",1906-07-20,201,"plum2","post-clearwater","post-clearwater"
1906,7,28,1.9,NA,"E.A. Birge C. Juday and Associates",NA,"NTL-LTER: 1897-2007 compiled data, dt2 in EDI package ID knb-lter-ntl.335.1",1906-07-28,209,"plum2","post-clearwater","post-clearwater"
1906,8,4,1.7,NA,"E.A. Birge C. Juday and Associates",NA,"NTL-LTER: 1897-2007 compiled data, dt2 in EDI package ID knb-lter-ntl.335.1",1906-08-04,216,"plum2","post-clearwater","post-clearwater"
1906,8,28,2.5,NA,"E.A. Birge C. Juday and Associates",NA,"NTL-LTER: 1897-2007 compiled data, dt2 in EDI package ID knb-lter-ntl.335.1",1906-08-28,240,"plum2","post-clearwater","post-clearwater"
1906,9,4,2.8,NA,"E.A. Birge C. Juday and Associates",NA,"NTL-LTER: 1897-2007 compiled data, dt2 in EDI package ID knb-lter-ntl.335.1",1906-09-04,247,"plum2","post-clearwater","post-clearwater"
1906,9,11,3,NA,"E.A. Birge C. Juday and Associates",NA,"NTL-LTER: 1897-2007 compiled data, dt2 in EDI package ID knb-lter-ntl.335.1",1906-09-11,254,"plum2","post-clearwater","post-clearwater"
1906,9,27,2.3,NA,"E.A. Birge C. Juday and Associates",NA,"NTL-LTER: 1897-2007 compiled data, dt2 in EDI package ID knb-lter-ntl.335.1",1906-09-27,270,"plum2","post-clearwater","post-clearwater"
1906,10,12,2.3,NA,"E.A. Birge C. Juday and Associates",NA,"NTL-LTER: 1897-2007 compiled data, dt2 in EDI package ID knb-lter-ntl.335.1",1906-10-12,285,"plum2","post-clearwater","post-clearwater"
1906,10,20,2.8,NA,"E.A. Birge C. Juday and Associates","2","NTL-LTER: 1897-2007 compiled data, dt2 in EDI package ID knb-lter-ntl.335.1",1906-10-20,293,"plum2","post-clearwater","post-clearwater"
1906,11,2,2.5,NA,"E.A. Birge C. Juday and Associates","2","NTL-LTER: 1897-2007 compiled data, dt2 in EDI package ID knb-lter-ntl.335.1",1906-11-02,306,"plum2","post-clearwater","post-clearwater"
1906,11,8,3.3,NA,"E.A. Birge C. Juday and Associates","2","NTL-LTER: 1897-2007 compiled data, dt2 in EDI package ID knb-lter-ntl.335.1",1906-11-08,312,"plum2","post-clearwater","post-clearwater"
1906,11,24,3,NA,"E.A. Birge C. Juday and Associates","2","NTL-LTER: 1897-2007 compiled data, dt2 in EDI package ID knb-lter-ntl.335.1",1906-11-24,328,"plum2","post-clearwater","post-clearwater"
1907,1,5,4,NA,"E.A. Birge C. Juday and Associates","2","NTL-LTER: 1897-2007 compiled data, dt2 in EDI package ID knb-lter-ntl.335.1",1907-01-05,5,"plum2","pre-clearwater","pre-clearwater"
1907,3,9,3,NA,"E.A. Birge C. Juday and Associates","2","NTL-LTER: 1897-2007 compiled data, dt2 in EDI package ID knb-lter-ntl.335.1",1907-03-09,68,"plum2","pre-clearwater","pre-clearwater"
1907,3,19,3.3,NA,"E.A. Birge C. Juday and Associates","2","NTL-LTER: 1897-2007 compiled data, dt2 in EDI package ID knb-lter-ntl.335.1",1907-03-19,78,"plum2","pre-clearwater","pre-clearwater"
1907,3,25,3,NA,"E.A. Birge C. Juday and Associates","2","NTL-LTER: 1897-2007 compiled data, dt2 in EDI package ID knb-lter-ntl.335.1",1907-03-25,84,"plum2","pre-clearwater","pre-clearwater"
1907,3,30,2.5,NA,"E.A. Birge C. Juday and Associates","2","NTL-LTER: 1897-2007 compiled data, dt2 in EDI package ID knb-lter-ntl.335.1",1907-03-30,89,"plum2","pre-clearwater","pre-clearwater"
1907,4,11,2,NA,"E.A. Birge C. Juday and Associates","2","NTL-LTER: 1897-2007 compiled data, dt2 in EDI package ID knb-lter-ntl.335.1",1907-04-11,101,"plum2","pre-clearwater","pre-clearwater"
1907,5,1,2.8,NA,"E.A. Birge C. Juday and Associates","2","NTL-LTER: 1897-2007 compiled data, dt2 in EDI package ID knb-lter-ntl.335.1",1907-05-01,121,"plum2","pre-clearwater","pre-clearwater"
1907,5,20,2.8,NA,"E.A. Birge C. Juday and Associates",NA,"NTL-LTER: 1897-2007 compiled data, dt2 in EDI package ID knb-lter-ntl.335.1",1907-05-20,140,"plum2","pre-clearwater","pre-clearwater"
1907,5,28,2,NA,"E.A. Birge C. Juday and Associates",NA,"NTL-LTER: 1897-2007 compiled data, dt2 in EDI package ID knb-lter-ntl.335.1",1907-05-28,148,"plum2","pre-clearwater","pre-clearwater"
1907,6,11,2.8,NA,"E.A. Birge C. Juday and Associates",NA,"NTL-LTER: 1897-2007 compiled data, dt2 in EDI package ID knb-lter-ntl.335.1",1907-06-11,162,"plum2","clearwater","clearwater #1"
1907,6,19,4.3,NA,"E.A. Birge C. Juday and Associates",NA,"NTL-LTER: 1897-2007 compiled data, dt2 in EDI package ID knb-lter-ntl.335.1",1907-06-19,170,"plum2","clearwater","clearwater #1"
1907,6,27,2.9,NA,"E.A. Birge C. Juday and Associates",NA,"NTL-LTER: 1897-2007 compiled data, dt2 in EDI package ID knb-lter-ntl.335.1",1907-06-27,178,"plum2","clearwater","clearwater #1"
1907,7,4,1.8,NA,"E.A. Birge C. Juday and Associates",NA,"NTL-LTER: 1897-2007 compiled data, dt2 in EDI package ID knb-lter-ntl.335.1",1907-07-04,185,"plum2","post-clearwater","post-clearwater"
1907,7,12,1.8,NA,"E.A. Birge C. Juday and Associates",NA,"NTL-LTER: 1897-2007 compiled data, dt2 in EDI package ID knb-lter-ntl.335.1",1907-07-12,193,"plum2","post-clearwater","post-clearwater"
1907,7,20,1.5,NA,"E.A. Birge C. Juday and Associates",NA,"NTL-LTER: 1897-2007 compiled data, dt2 in EDI package ID knb-lter-ntl.335.1",1907-07-20,201,"plum2","post-clearwater","post-clearwater"
1907,7,28,1.8,NA,"E.A. Birge C. Juday and Associates",NA,"NTL-LTER: 1897-2007 compiled data, dt2 in EDI package ID knb-lter-ntl.335.1",1907-07-28,209,"plum2","post-clearwater","post-clearwater"
1907,9,6,2.2,NA,"E.A. Birge C. Juday and Associates","2","NTL-LTER: 1897-2007 compiled data, dt2 in EDI package ID knb-lter-ntl.335.1",1907-09-06,249,"plum2","post-clearwater","post-clearwater"
1907,9,18,2,NA,"E.A. Birge C. Juday and Associates","2","NTL-LTER: 1897-2007 compiled data, dt2 in EDI package ID knb-lter-ntl.335.1",1907-09-18,261,"plum2","post-clearwater","post-clearwater"
1908,7,25,2,NA,"E.A. Birge C. Juday and Associates","2","NTL-LTER: 1897-2007 compiled data, dt2 in EDI package ID knb-lter-ntl.335.1",1908-07-25,207,"plum2",NA,NA
1908,9,7,1.8,NA,"E.A. Birge C. Juday and Associates","2","NTL-LTER: 1897-2007 compiled data, dt2 in EDI package ID knb-lter-ntl.335.1",1908-09-07,251,"plum2",NA,NA
1908,9,21,1.8,NA,"E.A. Birge C. Juday and Associates","2","NTL-LTER: 1897-2007 compiled data, dt2 in EDI package ID knb-lter-ntl.335.1",1908-09-21,265,"plum2",NA,NA
1908,10,13,2.3,NA,"E.A. Birge C. Juday and Associates","2","NTL-LTER: 1897-2007 compiled data, dt2 in EDI package ID knb-lter-ntl.335.1",1908-10-13,287,"plum2",NA,NA
1908,10,17,2.3,NA,"E.A. Birge C. Juday and Associates","2","NTL-LTER: 1897-2007 compiled data, dt2 in EDI package ID knb-lter-ntl.335.1",1908-10-17,291,"plum2",NA,NA
1908,10,26,2.3,NA,"E.A. Birge C. Juday and Associates","1","NTL-LTER: 1897-2007 compiled data, dt2 in EDI package ID knb-lter-ntl.335.1",1908-10-26,300,"plum2",NA,NA
1908,11,3,2.5,NA,"E.A. Birge C. Juday and Associates",NA,"NTL-LTER: 1897-2007 compiled data, dt2 in EDI package ID knb-lter-ntl.335.1",1908-11-03,308,"plum2",NA,NA
1908,11,21,3,NA,"E.A. Birge C. Juday and Associates","1","NTL-LTER: 1897-2007 compiled data, dt2 in EDI package ID knb-lter-ntl.335.1",1908-11-21,326,"plum2",NA,NA
1909,1,26,5,NA,"E.A. Birge C. Juday and Associates","2","NTL-LTER: 1897-2007 compiled data, dt2 in EDI package ID knb-lter-ntl.335.1",1909-01-26,26,"plum2",NA,NA
1909,2,6,5.5,NA,"E.A. Birge C. Juday and Associates","2","NTL-LTER: 1897-2007 compiled data, dt2 in EDI package ID knb-lter-ntl.335.1",1909-02-06,37,"plum2",NA,NA
1909,3,6,4.8,NA,"E.A. Birge C. Juday and Associates","2","NTL-LTER: 1897-2007 compiled data, dt2 in EDI package ID knb-lter-ntl.335.1",1909-03-06,65,"plum2",NA,NA
1909,6,19,3.2,NA,"E.A. Birge C. Juday and Associates",NA,"NTL-LTER: 1897-2007 compiled data, dt2 in EDI package ID knb-lter-ntl.335.1",1909-06-19,170,"plum2",NA,NA
1909,7,4,2.3,NA,"E.A. Birge C. Juday and Associates",NA,"NTL-LTER: 1897-2007 compiled data, dt2 in EDI package ID knb-lter-ntl.335.1",1909-07-04,185,"plum2",NA,NA
1909,7,20,1.9,NA,"E.A. Birge C. Juday and Associates",NA,"NTL-LTER: 1897-2007 compiled data, dt2 in EDI package ID knb-lter-ntl.335.1",1909-07-20,201,"plum2",NA,NA
1909,8,28,2.3,NA,"E.A. Birge C. Juday and Associates",NA,"NTL-LTER: 1897-2007 compiled data, dt2 in EDI package ID knb-lter-ntl.335.1",1909-08-28,240,"plum2",NA,NA
1911,4,27,2.8,NA,"E.A. Birge C. Juday and Associates",NA,"NTL-LTER: 1897-2007 compiled data, dt2 in EDI package ID knb-lter-ntl.335.1",1911-04-27,117,"plum2",NA,NA
1911,5,20,3.3,NA,"E.A. Birge C. Juday and Associates",NA,"NTL-LTER: 1897-2007 compiled data, dt2 in EDI package ID knb-lter-ntl.335.1",1911-05-20,140,"plum2",NA,NA
1911,6,4,2.1,NA,"E.A. Birge C. Juday and Associates",NA,"NTL-LTER: 1897-2007 compiled data, dt2 in EDI package ID knb-lter-ntl.335.1",1911-06-04,155,"plum2",NA,NA
1911,12,25,1.2,NA,"E.A. Birge C. Juday and Associates","1","NTL-LTER: 1897-2007 compiled data, dt2 in EDI package ID knb-lter-ntl.335.1",1911-12-25,359,"plum2",NA,NA
1912,6,11,4,NA,"E.A. Birge C. Juday and Associates",NA,"NTL-LTER: 1897-2007 compiled data, dt2 in EDI package ID knb-lter-ntl.335.1",1912-06-11,163,"plum2",NA,NA
1912,7,20,2.1,NA,"E.A. Birge C. Juday and Associates",NA,"NTL-LTER: 1897-2007 compiled data, dt2 in EDI package ID knb-lter-ntl.335.1",1912-07-20,202,"plum2",NA,NA
1912,8,28,1.9,NA,"E.A. Birge C. Juday and Associates",NA,"NTL-LTER: 1897-2007 compiled data, dt2 in EDI package ID knb-lter-ntl.335.1",1912-08-28,241,"plum2",NA,NA
1912,9,4,2,NA,"E.A. Birge C. Juday and Associates",NA,"NTL-LTER: 1897-2007 compiled data, dt2 in EDI package ID knb-lter-ntl.335.1",1912-09-04,248,"plum2",NA,NA
1912,9,11,2,NA,"E.A. Birge C. Juday and Associates",NA,"NTL-LTER: 1897-2007 compiled data, dt2 in EDI package ID knb-lter-ntl.335.1",1912-09-11,255,"plum2",NA,NA
1912,9,27,2.5,NA,"E.A. Birge C. Juday and Associates",NA,"NTL-LTER: 1897-2007 compiled data, dt2 in EDI package ID knb-lter-ntl.335.1",1912-09-27,271,"plum2",NA,NA
1912,10,4,2.5,NA,"E.A. Birge C. Juday and Associates",NA,"NTL-LTER: 1897-2007 compiled data, dt2 in EDI package ID knb-lter-ntl.335.1",1912-10-04,278,"plum2",NA,NA
1912,10,12,2.1,NA,"E.A. Birge C. Juday and Associates",NA,"NTL-LTER: 1897-2007 compiled data, dt2 in EDI package ID knb-lter-ntl.335.1",1912-10-12,286,"plum2",NA,NA
1912,10,17,2.3,NA,"E.A. Birge C. Juday and Associates","2","NTL-LTER: 1897-2007 compiled data, dt2 in EDI package ID knb-lter-ntl.335.1",1912-10-17,291,"plum2",NA,NA
1912,10,18,2,NA,"E.A. Birge C. Juday and Associates","2","NTL-LTER: 1897-2007 compiled data, dt2 in EDI package ID knb-lter-ntl.335.1",1912-10-18,292,"plum2",NA,NA
1912,10,21,1.9,NA,"E.A. Birge C. Juday and Associates","2","NTL-LTER: 1897-2007 compiled data, dt2 in EDI package ID knb-lter-ntl.335.1",1912-10-21,295,"plum2",NA,NA
1912,11,4,2.4,NA,"E.A. Birge C. Juday and Associates","2","NTL-LTER: 1897-2007 compiled data, dt2 in EDI package ID knb-lter-ntl.335.1",1912-11-04,309,"plum2",NA,NA
1912,11,15,2.9,NA,"E.A. Birge C. Juday and Associates","2","NTL-LTER: 1897-2007 compiled data, dt2 in EDI package ID knb-lter-ntl.335.1",1912-11-15,320,"plum2",NA,NA
1913,5,4,1.9,NA,"E.A. Birge C. Juday and Associates",NA,"NTL-LTER: 1897-2007 compiled data, dt2 in EDI package ID knb-lter-ntl.335.1",1913-05-04,124,"plum2","pre-clearwater","pre-clearwater"
1913,5,20,2,NA,"E.A. Birge C. Juday and Associates",NA,"NTL-LTER: 1897-2007 compiled data, dt2 in EDI package ID knb-lter-ntl.335.1",1913-05-20,140,"plum2","pre-clearwater","pre-clearwater"
1913,5,28,3.5,NA,"E.A. Birge C. Juday and Associates",NA,"NTL-LTER: 1897-2007 compiled data, dt2 in EDI package ID knb-lter-ntl.335.1",1913-05-28,148,"plum2","clearwater","clearwater #1"
1913,6,4,2.8,NA,"E.A. Birge C. Juday and Associates",NA,"NTL-LTER: 1897-2007 compiled data, dt2 in EDI package ID knb-lter-ntl.335.1",1913-06-04,155,"plum2","clearwater","clearwater #1"
1913,6,19,2,NA,"E.A. Birge C. Juday and Associates",NA,"NTL-LTER: 1897-2007 compiled data, dt2 in EDI package ID knb-lter-ntl.335.1",1913-06-19,170,"plum2","post-clearwater","post-clearwater"
1913,7,28,1.5,NA,"E.A. Birge C. Juday and Associates",NA,"NTL-LTER: 1897-2007 compiled data, dt2 in EDI package ID knb-lter-ntl.335.1",1913-07-28,209,"plum2","post-clearwater","post-clearwater"
1913,8,28,2,NA,"E.A. Birge C. Juday and Associates",NA,"NTL-LTER: 1897-2007 compiled data, dt2 in EDI package ID knb-lter-ntl.335.1",1913-08-28,240,"plum2","post-clearwater","post-clearwater"
1913,9,11,1.9,NA,"E.A. Birge C. Juday and Associates",NA,"NTL-LTER: 1897-2007 compiled data, dt2 in EDI package ID knb-lter-ntl.335.1",1913-09-11,254,"plum2","post-clearwater","post-clearwater"
1913,9,27,2,NA,"E.A. Birge C. Juday and Associates",NA,"NTL-LTER: 1897-2007 compiled data, dt2 in EDI package ID knb-lter-ntl.335.1",1913-09-27,270,"plum2","post-clearwater","post-clearwater"
1913,10,4,2.4,NA,"E.A. Birge C. Juday and Associates",NA,"NTL-LTER: 1897-2007 compiled data, dt2 in EDI package ID knb-lter-ntl.335.1",1913-10-04,277,"plum2","post-clearwater","post-clearwater"
1913,10,12,2.2,NA,"E.A. Birge C. Juday and Associates",NA,"NTL-LTER: 1897-2007 compiled data, dt2 in EDI package ID knb-lter-ntl.335.1",1913-10-12,285,"plum2","post-clearwater","post-clearwater"
1913,11,2,2.9,NA,"E.A. Birge C. Juday and Associates","2","NTL-LTER: 1897-2007 compiled data, dt2 in EDI package ID knb-lter-ntl.335.1",1913-11-02,306,"plum2","post-clearwater","post-clearwater"
1913,11,4,4.3,NA,"E.A. Birge C. Juday and Associates","2","NTL-LTER: 1897-2007 compiled data, dt2 in EDI package ID knb-lter-ntl.335.1",1913-11-04,308,"plum2","post-clearwater","post-clearwater"
1913,11,5,3.2,NA,"E.A. Birge C. Juday and Associates","2","NTL-LTER: 1897-2007 compiled data, dt2 in EDI package ID knb-lter-ntl.335.1",1913-11-05,309,"plum2","post-clearwater","post-clearwater"
1913,11,6,3.7,NA,"E.A. Birge C. Juday and Associates","2","NTL-LTER: 1897-2007 compiled data, dt2 in EDI package ID knb-lter-ntl.335.1",1913-11-06,310,"plum2","post-clearwater","post-clearwater"
1913,11,11,3.2,NA,"E.A. Birge C. Juday and Associates","2","NTL-LTER: 1897-2007 compiled data, dt2 in EDI package ID knb-lter-ntl.335.1",1913-11-11,315,"plum2","post-clearwater","post-clearwater"
1913,11,12,3.8,NA,"E.A. Birge C. Juday and Associates","2","NTL-LTER: 1897-2007 compiled data, dt2 in EDI package ID knb-lter-ntl.335.1",1913-11-12,316,"plum2","post-clearwater","post-clearwater"
1913,11,22,4.5,NA,"E.A. Birge C. Juday and Associates","2","NTL-LTER: 1897-2007 compiled data, dt2 in EDI package ID knb-lter-ntl.335.1",1913-11-22,326,"plum2","post-clearwater","post-clearwater"
1913,11,24,4,NA,"E.A. Birge C. Juday and Associates","2","NTL-LTER: 1897-2007 compiled data, dt2 in EDI package ID knb-lter-ntl.335.1",1913-11-24,328,"plum2","post-clearwater","post-clearwater"
1913,12,1,4.1,NA,"E.A. Birge C. Juday and Associates","2","NTL-LTER: 1897-2007 compiled data, dt2 in EDI package ID knb-lter-ntl.335.1",1913-12-01,335,"plum2","post-clearwater","post-clearwater"
1913,12,2,4.5,NA,"E.A. Birge C. Juday and Associates","1","NTL-LTER: 1897-2007 compiled data, dt2 in EDI package ID knb-lter-ntl.335.1",1913-12-02,336,"plum2","post-clearwater","post-clearwater"
1913,12,5,4,NA,"E.A. Birge C. Juday and Associates","1","NTL-LTER: 1897-2007 compiled data, dt2 in EDI package ID knb-lter-ntl.335.1",1913-12-05,339,"plum2","post-clearwater","post-clearwater"
1913,12,16,3.6,NA,"E.A. Birge C. Juday and Associates","2","NTL-LTER: 1897-2007 compiled data, dt2 in EDI package ID knb-lter-ntl.335.1",1913-12-16,350,"plum2","post-clearwater","post-clearwater"
1914,4,19,2.1,NA,"E.A. Birge C. Juday and Associates",NA,"NTL-LTER: 1897-2007 compiled data, dt2 in EDI package ID knb-lter-ntl.335.1",1914-04-19,109,"plum2","pre-clearwater","pre-clearwater"
1914,4,27,2,NA,"E.A. Birge C. Juday and Associates",NA,"NTL-LTER: 1897-2007 compiled data, dt2 in EDI package ID knb-lter-ntl.335.1",1914-04-27,117,"plum2","pre-clearwater","pre-clearwater"
1914,5,4,1.2,NA,"E.A. Birge C. Juday and Associates",NA,"NTL-LTER: 1897-2007 compiled data, dt2 in EDI package ID knb-lter-ntl.335.1",1914-05-04,124,"plum2","pre-clearwater","pre-clearwater"
1914,5,12,1.6,NA,"E.A. Birge C. Juday and Associates",NA,"NTL-LTER: 1897-2007 compiled data, dt2 in EDI package ID knb-lter-ntl.335.1",1914-05-12,132,"plum2","pre-clearwater","pre-clearwater"
1914,5,28,3,NA,"E.A. Birge C. Juday and Associates",NA,"NTL-LTER: 1897-2007 compiled data, dt2 in EDI package ID knb-lter-ntl.335.1",1914-05-28,148,"plum2","clearwater","clearwater #1"
1914,6,4,3.5,NA,"E.A. Birge C. Juday and Associates",NA,"NTL-LTER: 1897-2007 compiled data, dt2 in EDI package ID knb-lter-ntl.335.1",1914-06-04,155,"plum2","clearwater","clearwater #1"
1914,6,11,2.2,NA,"E.A. Birge C. Juday and Associates",NA,"NTL-LTER: 1897-2007 compiled data, dt2 in EDI package ID knb-lter-ntl.335.1",1914-06-11,162,"plum2","post-clearwater","post-clearwater"
1914,6,19,2,NA,"E.A. Birge C. Juday and Associates",NA,"NTL-LTER: 1897-2007 compiled data, dt2 in EDI package ID knb-lter-ntl.335.1",1914-06-19,170,"plum2","post-clearwater","post-clearwater"
1914,6,27,1.8,NA,"E.A. Birge C. Juday and Associates",NA,"NTL-LTER: 1897-2007 compiled data, dt2 in EDI package ID knb-lter-ntl.335.1",1914-06-27,178,"plum2","post-clearwater","post-clearwater"
1914,7,4,1.9,NA,"E.A. Birge C. Juday and Associates",NA,"NTL-LTER: 1897-2007 compiled data, dt2 in EDI package ID knb-lter-ntl.335.1",1914-07-04,185,"plum2","post-clearwater","post-clearwater"
1914,7,12,2.3,NA,"E.A. Birge C. Juday and Associates",NA,"NTL-LTER: 1897-2007 compiled data, dt2 in EDI package ID knb-lter-ntl.335.1",1914-07-12,193,"plum2","post-clearwater","post-clearwater"
1914,7,20,2,NA,"E.A. Birge C. Juday and Associates",NA,"NTL-LTER: 1897-2007 compiled data, dt2 in EDI package ID knb-lter-ntl.335.1",1914-07-20,201,"plum2","post-clearwater","post-clearwater"
1914,7,28,1.9,NA,"E.A. Birge C. Juday and Associates",NA,"NTL-LTER: 1897-2007 compiled data, dt2 in EDI package ID knb-lter-ntl.335.1",1914-07-28,209,"plum2","post-clearwater","post-clearwater"
1914,8,4,2,NA,"E.A. Birge C. Juday and Associates",NA,"NTL-LTER: 1897-2007 compiled data, dt2 in EDI package ID knb-lter-ntl.335.1",1914-08-04,216,"plum2","post-clearwater","post-clearwater"
1914,8,12,2.1,NA,"E.A. Birge C. Juday and Associates",NA,"NTL-LTER: 1897-2007 compiled data, dt2 in EDI package ID knb-lter-ntl.335.1",1914-08-12,224,"plum2","post-clearwater","post-clearwater"
1914,8,20,2.7,NA,"E.A. Birge C. Juday and Associates",NA,"NTL-LTER: 1897-2007 compiled data, dt2 in EDI package ID knb-lter-ntl.335.1",1914-08-20,232,"plum2","post-clearwater","post-clearwater"
1914,8,28,2.6,NA,"E.A. Birge C. Juday and Associates",NA,"NTL-LTER: 1897-2007 compiled data, dt2 in EDI package ID knb-lter-ntl.335.1",1914-08-28,240,"plum2","post-clearwater","post-clearwater"
1914,9,4,2.5,NA,"E.A. Birge C. Juday and Associates",NA,"NTL-LTER: 1897-2007 compiled data, dt2 in EDI package ID knb-lter-ntl.335.1",1914-09-04,247,"plum2","post-clearwater","post-clearwater"
1914,9,11,2.6,NA,"E.A. Birge C. Juday and Associates",NA,"NTL-LTER: 1897-2007 compiled data, dt2 in EDI package ID knb-lter-ntl.335.1",1914-09-11,254,"plum2","post-clearwater","post-clearwater"
1914,9,19,2.1,NA,"E.A. Birge C. Juday and Associates",NA,"NTL-LTER: 1897-2007 compiled data, dt2 in EDI package ID knb-lter-ntl.335.1",1914-09-19,262,"plum2","post-clearwater","post-clearwater"
1914,9,27,2,NA,"E.A. Birge C. Juday and Associates",NA,"NTL-LTER: 1897-2007 compiled data, dt2 in EDI package ID knb-lter-ntl.335.1",1914-09-27,270,"plum2","post-clearwater","post-clearwater"
1914,10,4,1.9,NA,"E.A. Birge C. Juday and Associates",NA,"NTL-LTER: 1897-2007 compiled data, dt2 in EDI package ID knb-lter-ntl.335.1",1914-10-04,277,"plum2","post-clearwater","post-clearwater"
1914,10,12,2,NA,"E.A. Birge C. Juday and Associates",NA,"NTL-LTER: 1897-2007 compiled data, dt2 in EDI package ID knb-lter-ntl.335.1",1914-10-12,285,"plum2","post-clearwater","post-clearwater"
1914,10,17,2.2,NA,"E.A. Birge C. Juday and Associates","2","NTL-LTER: 1897-2007 compiled data, dt2 in EDI package ID knb-lter-ntl.335.1",1914-10-17,290,"plum2","post-clearwater","post-clearwater"
1914,10,18,2.5,NA,"E.A. Birge C. Juday and Associates","2","NTL-LTER: 1897-2007 compiled data, dt2 in EDI package ID knb-lter-ntl.335.1",1914-10-18,291,"plum2","post-clearwater","post-clearwater"
