"year4","Acanthocyclops","Acroperus Harpae","Aglaodiaptomus Clavipes","Alona","Bythotrephes Longimanus","Calanoid","Chaoborus","Chydorus","Copepod Nauplii","Copepodites","Cyclopoid","Daphnia","Daphnia Mendotae","Daphnia Parvula","Daphnia Pulicaria","Daphnia Retrocurva","Diacyclops Thomasi","Diaphanosoma Birgei","Diaptomid","Harpacticoid","Leptodora Kindti","Mesocyclops Edax","Sinobosmina Fryei","Tropocyclops","Tropocyclops Prasinus Mexicanus","tot.zoops","tot.zoops.no.pred"
2005,0.111451536680885,0,2.43995105904729,0,0,0,0,0.0476925189895383,0,0,1.019244397015,0.113926644289218,5.20165476791141,0.299616246419243,60.9697472581417,0.0670757982015402,1.16166240253531,0.256695280686272,0.534419017633569,0,1.25786436404068,0,0.0198887632591772,0,0,73.5008900548509,72.2430256908102
2006,0,0,2.11324853636841,0,0,0,0,0.00934946122216211,0,0,0.981094520335114,2.04407749225523,2.26066279651876,0.70296772914808,28.7739382068864,0,0,0,0,0,0,0,0.0297411162795469,0,0,36.9150798590137,36.9150798590137
2007,0,0,7.23880991672877,0,0,0,0,0.0553877027424378,2.45195346349822,0.364870000694448,0,0.344594485069742,2.06237195821711,4.98551042017719,41.7162790198418,0,0.282557753959601,0.166526478706012,5.85745444316312,0,0.00402498699201779,0,0.0155061423446265,0,0,65.5458467721351,65.5418217851431
2008,0.93804904456047,0,8.40767577459765,0,0,0,0,0.0206381747543782,8.28945432839958,0.209376805144094,0,0.435751008900026,2.17742546807516,0,22.8216234945844,0,3.54369033,0.508372181448102,0,0,0.0139335174555013,0,0.0383261093934311,0,0,47.4043162373128,47.3903827198573
2009,0,0,4.65448991198155,0,36.46537433547,0,0,0.0341925008008249,11.8967735402559,0.154531394717788,0,0,2.36804931863464,0.30612594100033,29.0796704123849,0,0,0.016076193909231,0,0,0.00447023839904583,0,0.0122523866332416,0,0,84.9920061741875,48.5221616003185
2010,0,0,0,0,149.776972865279,0,0,0.0401993926752712,0,0.0530619602113871,0,0,1.93160705919832,0.0633647403918627,6.81895654076475,0.177966450912265,0,0.0116798321863702,0,0,0,0,0.0443496138030448,0,0,158.918158455423,9.14118559014326
2011,0,0,0,0,116.359211291132,0,0,0.0272912256238806,6.46761139009534,1.73563279354869,0,0,23.2066288182447,0,25.924679150097,0,1.01880173092481,0.332918008122618,31.0098298400417,0,0.0142093947345541,0,0.0848298122904388,0,0,206.181643454856,89.8082227689892
2012,0,0,0,0,298.896904412728,0,0,1.34089205660497,0,0.91617706813151,0,0,4.92021403511988,0,68.1481134490203,0,0,1.31448223674728,36.5899726906792,0,0.00718132202553599,0,0.0254974286068773,0,0,412.159434699664,113.25534896491
2013,0,0,0,0,27.8893455684409,0,0,0.0653887008651373,0,0.871006288914368,0,0,2.57941990007331,0,56.279024305954,0,0,0,40.6278335494127,0,0,0,0.0281567636053274,0,0,128.340175077266,100.450829508825
2014,0,0,0,0,98.9579494416594,0,0,0.0759484180597979,0,1.23367132856175,0,0,15.5011999914134,0.416853873064346,2.66028038563878,0,0,0,51.0320328383177,0,0,0,0.0184552534712419,0,0,169.896391530186,70.9384420885271
2015,0,0,0,0,59.2880697538406,0,0,0.0398403257347312,0,2.00559078883658,0,0,28.0100108768711,3.18713048181331,4.92880284652489,0,0,0.00545086961122096,68.1716960839535,0,0,0,0.433616602937806,0,0,166.070208630124,106.782138876283
2016,0,0,0,0,75.5705495669772,0,0,0.038361314330617,0,3.09670580594367,0,0,1.90366806211075,0,82.0059634862583,0.0919700795643454,0,0.0210319508712601,19.3749629249182,0,0,0,0.109789945642034,0,0,182.213003136616,106.642453569639
2017,0.0897327472809536,0,0,0,0.255229141912378,0,0,0.0581105464171278,0,0,0,0,9.11504745633717,0.597685594143979,0.751734426928524,4.27688499841737,0,0.0155735585905845,0,0,0,0,0.0141959351354326,0,0,15.1741944051635,14.9189652632511
2018,0,0,0,0,0.564657047865341,0,111.442740039246,0,0,0,0,0,1.91917751843466,0.0259078643696963,0.425757236333378,0.0715612702331696,0,0.0276500135507503,0,0,0.000187164107048184,0,0.0455264801113482,0,0,114.523164634252,113.958320422279
